,frame,average_for_this_video_SEPARATION_pinna_ear_left_to_mouth_corner_left,SEPARATION_pinna_ear_left_to_mouth_corner_left,average_for_this_video_SEPARATION_pinna_ear_right_to_mouth_corner_right,SEPARATION_pinna_ear_right_to_mouth_corner_right,happy,average_for_this_video_SEPARATION_pinna_ear_left_inner_brow_left,SEPARATION_pinna_ear_left_inner_brow_left,average_for_this_video_SEPARATION_pinna_ear_right_inner_brow_right,SEPARATION_pinna_ear_right_inner_brow_right,scared_sad,average_for_this_video_SEPARATION_upper_lip_to_lower_lip,SEPARATION_upper_lip_to_lower_lip,average_for_this_video_SEPARATION_pinna_ear_left_to_nose_corner_left,SEPARATION_pinna_ear_left_to_nose_corner_left,average_for_this_video_SEPARATION_pinna_ear_right_to_nose_corner_right,SEPARATION_pinna_ear_right_to_nose_corner_right,angry_disgusted,average_for_this_video_SEPARATION_pinna_ear_left_to_pinna_ear_right,SEPARATION_pinna_ear_left_to_pinna_ear_right,ears_apart,ears_tilted,brows_tilted,nose_tilted,mouth_tilted,suprised
2,0,327.7203284802666,254.65620254622075,502.42287643562145,1128.3191643021219,62.53944009164479,178.45414740797662,157.2001553146405,163.79409037648512,143.8055332450206,50.744222048139925,49.384335236925835,9.94763087830863,264.33920519672085,284.6826635185321,246.37970266439223,277.639093672537,40.0,165.44702592936505,11.384421708494441,False,False,False,False,True,28.0
3,1,327.7203284802666,255.2950805558473,502.42287643562145,1127.9979416569274,62.51371401668083,178.45414740797662,158.91920977992905,163.79409037648512,185.86601342512208,50.63054165593682,49.384335236925835,11.217620096666188,264.33920519672085,287.7407953095881,246.37970266439223,279.66196273235425,40.0,165.44702592936505,13.212802867751929,False,False,True,False,True,28.0
4,2,327.7203284802666,256.91855307474634,502.42287643562145,1127.5193126493573,62.448340697997445,178.45414740797662,158.66678830599912,163.79409037648512,185.64756303319774,50.64723418821911,49.384335236925835,13.147754375379698,264.33920519672085,288.44086285987527,246.37970266439223,279.54658014701425,40.0,165.44702592936505,11.882203660127908,False,False,True,False,True,28.0
5,3,327.7203284802666,253.86223602160487,502.42287643562145,1124.2970432405796,62.571411206667335,178.45414740797662,159.7693741270603,163.79409037648512,143.10443894108911,50.574320623752854,49.384335236925835,12.847886014335598,264.33920519672085,287.61653249870113,246.37970266439223,277.6229407417673,40.0,165.44702592936505,13.36916828516019,False,False,False,False,True,28.0
6,4,327.7203284802666,258.0711760938596,502.42287643562145,1151.367860047944,62.401927351868615,178.45414740797662,157.19273700362086,163.79409037648512,55.12808190748193,50.74471261811501,49.384335236925835,13.65423116905168,264.33920519672085,283.02311940189725,246.37970266439223,151.26284112147343,40.0,165.44702592936505,144.78048629077722,False,True,True,False,True,29.466362136529057
7,5,327.7203284802666,253.79533712776617,502.42287643562145,1150.4358722286438,62.57410506360397,178.45414740797662,197.7136442455694,163.79409037648512,53.92761364711235,56.604130626327816,49.384335236925835,14.312734948856916,264.33920519672085,275.48530357997606,246.37970266439223,146.17958508335772,40.0,165.44702592936505,145.84897908664303,False,True,False,False,True,28.0
8,6,327.7203284802666,256.11504264360116,502.42287643562145,1139.766906666523,62.48069612309346,178.45414740797662,195.34468827720485,163.79409037648512,2.5758871337324174,60.0,49.384335236925835,40.914443506462,264.33920519672085,271.37923981249253,246.37970266439223,139.27481672651516,40.0,165.44702592936505,144.9185260988357,False,True,True,False,True,29.467687020045172
9,7,327.7203284802666,253.56431045940568,502.42287643562145,1159.278470781949,62.58340794975651,178.45414740797662,198.69369444075986,163.79409037648512,82.14151916422965,54.73835620816302,49.384335236925835,36.401401221031456,264.33920519672085,265.7958400264549,246.37970266439223,215.15918146620314,40.0,165.44702592936505,84.13718518240367,False,False,True,False,True,28.0
10,8,327.7203284802666,250.94916941539952,502.42287643562145,1158.8508078017148,62.68871336569775,178.45414740797662,188.0175243587414,163.79409037648512,79.01105949463894,54.94537226856187,49.384335236925835,36.038055026558325,264.33920519672085,252.84923082157502,246.37970266439223,205.77769186461686,40.0,165.44702592936505,82.99462865304075,False,False,False,False,True,28.0
11,9,327.7203284802666,269.7803903804454,502.42287643562145,1156.6727437526058,61.93042556284654,178.45414740797662,226.74430812586536,163.79409037648512,72.83560737408185,55.35375247597933,49.384335236925835,16.108113722857098,264.33920519672085,278.07934586380543,246.37970266439223,196.87229133218247,40.0,165.44702592936505,127.88314857785291,False,False,False,False,True,28.0
12,10,327.7203284802666,256.9448122822304,502.42287643562145,1156.9855523684053,62.44728330311133,178.45414740797662,204.52829316681948,163.79409037648512,70.75734935764298,55.49118685701761,49.384335236925835,37.667496397624475,264.33920519672085,256.1582977235475,246.37970266439223,190.83858868873276,40.0,165.44702592936505,111.7208608357907,False,False,False,False,True,28.0
13,11,327.7203284802666,252.55422281265575,502.42287643562145,1151.0004898056188,62.62408174057246,178.45414740797662,199.74034476321586,163.79409037648512,112.41492287442661,52.73638798866244,49.384335236925835,28.616988941606863,264.33920519672085,246.43968002930217,246.37970266439223,186.47547289641946,40.0,165.44702592936505,103.89748075911282,False,False,False,False,True,28.0
14,12,327.7203284802666,180.83390879114916,502.42287643562145,1150.5816353511245,65.51208562731536,178.45414740797662,135.72949895543044,163.79409037648512,66.07124139188655,52.16406806527206,49.384335236925835,23.598376097437274,264.33920519672085,239.35668989551115,246.37970266439223,183.41331112735983,40.0,165.44702592936505,106.45646574547403,False,False,False,False,True,28.0
